gravidade;mlb;titulo;marca;modelo;cor_declarada;tamanho;sku;origem;agrupador;estoque_ml;status;diagnostico
FOTO ERRADA;MLB5183585259;Chinelo Havaianas Top Tiras Rosa 36 Br;Havaianas;TOP TIRAS;Rosa;36;00962035;chinelo havaianas top tiras (rosa ballet/tiras 35/36);2387439-rosaballettiras;9;paused;"foto e a marrom cafe; origem diz rosa ballet"
FOTO ERRADA;MLB5183548227;Chinelo Havaianas Top Tiras Rosa 37 Br;Havaianas;TOP TIRAS;Rosa;37;00962037;chinelo havaianas top tiras (rosa ballet/tiras 37/38);2387439-rosaballettiras;11;paused;"foto e a marrom cafe; origem diz rosa ballet"
FOTO ERRADA;MLB5183572475;Chinelo Havaianas Top Tiras Rosa 38 Br;Havaianas;TOP TIRAS;Rosa;38;00962037;chinelo havaianas top tiras (rosa ballet/tiras 37/38);2387439-rosaballettiras;12;paused;"foto e a marrom cafe; origem diz rosa ballet"
FOTO ERRADA;MLB5183585375;Chinelo Havaianas Top Tiras Rosa 39 Br;Havaianas;TOP TIRAS;Rosa;39;00962039;chinelo havaianas top tiras (rosa ballet/tiras 39/40);2387439-rosaballettiras;12;paused;"foto e a marrom cafe; origem diz rosa ballet"
FOTO ERRADA;MLB5183572537;Chinelo Havaianas Top Tiras Rosa 40 Br;Havaianas;TOP TIRAS;Rosa;40;00962039;chinelo havaianas top tiras (rosa ballet/tiras 39/40);2387439-rosaballettiras;13;paused;"foto e a marrom cafe; origem diz rosa ballet"
FOTO ERRADA;MLB5183579913;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 34 Br;Modare;7200.113 LONDON;Marrom-claro;34;01066334;sandalia papete feminino modare 7200.113 london (106596 caramelo 34);2644016-106596caramelo;1;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183592961;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 35 Br;Modare;7200.113 LONDON;Marrom-claro;35;01066335;sandalia papete feminino modare 7200.113 london (106596 caramelo 35);2644016-106596caramelo;2;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183579963;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 36 Br;Modare;7200.113 LONDON;Marrom-claro;36;01066336;sandalia papete feminino modare 7200.113 london (106596 caramelo 36);2644016-106596caramelo;4;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183580005;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 37 Br;Modare;7200.113 LONDON;Marrom-claro;37;01066337;sandalia papete feminino modare 7200.113 london (106596 caramelo 37);2644016-106596caramelo;6;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183580033;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 38 Br;Modare;7200.113 LONDON;Marrom-claro;38;01066338;sandalia papete feminino modare 7200.113 london (106596 caramelo 38);2644016-106596caramelo;5;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183580055;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 39 Br;Modare;7200.113 LONDON;Marrom-claro;39;01066339;sandalia papete feminino modare 7200.113 london (106596 caramelo 39);2644016-106596caramelo;2;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183593109;Sandalia Papete Feminino Modare London 7200.113 Marrom-claro 40 Br;Modare;7200.113 LONDON;Marrom-claro;40;01066340;sandalia papete feminino modare 7200.113 london (106596 caramelo 40);2644016-106596caramelo;1;paused;"foto e uma sandalia PRETA; origem diz caramelo"
FOTO ERRADA;MLB5183325299;Papete Slide Feminina Moleca 5556.100 Bege 34 Br;Moleca;5556.100 TIRA PR CA;Bege;34;01058534;papete slide moleca 5556.100 tira pr ca (92940 bege/cristal/bege 34);2608307-92940begecristalbege;2;paused;"foto e preta; origem diz bege/cristal/bege"
FOTO ERRADA;MLB5183325349;Papete Slide Feminina Moleca 5556.100 Bege 37 Br;Moleca;5556.100 TIRA PR CA;Bege;37;01058537;papete slide moleca 5556.100 tira pr ca (92940 bege/cristal/bege 37);2608307-92940begecristalbege;3;paused;"foto e preta; origem diz bege/cristal/bege"
FOTO ERRADA;MLB5183325415;Papete Slide Feminina Moleca 5556.100 Bege 38 Br;Moleca;5556.100 TIRA PR CA;Bege;38;01058538;papete slide moleca 5556.100 tira pr ca (92940 bege/cristal/bege 38);2608307-92940begecristalbege;2;paused;"foto e preta; origem diz bege/cristal/bege"
FOTO ERRADA;MLB5183301789;Papete Slide Feminina Moleca 5556.100 Bege 40 Br;Moleca;5556.100 TIRA PR CA;Bege;40;01058540;papete slide moleca 5556.100 tira pr ca (92940 bege/cristal/bege 40);2608307-92940begecristalbege;1;paused;"foto e preta; origem diz bege/cristal/bege"
FOTO ERRADA;MLB5183311841;Babuche Moleca 5832.100 Branco 38 Br;Moleca;5832.100 PVC;Branco;38;01024838;babuche moleca 5832.100 pvc (bab branco off 526 38);2545583-babbrancooff526;5;paused;"foto e a do babuche PRETO; origem diz branco off"
FOTO ERRADA;MLB5183301029;Babuche Moleca 5832.100 Branco 39 Br;Moleca;5832.100 PVC;Branco;39;01024839;babuche moleca 5832.100 pvc (bab branco off 526 39);2545583-babbrancooff526;5;paused;"foto e a do babuche PRETO; origem diz branco off"
FOTO ERRADA;MLB5183301085;Babuche Moleca 5832.100 Branco 40 Br;Moleca;5832.100 PVC;Branco;40;01024840;babuche moleca 5832.100 pvc (bab branco off 526 40);2545583-babbrancooff526;2;paused;"foto e a do babuche PRETO; origem diz branco off"
FOTO ERRADA;MLB5183312265;Babuche Moleca 5832.100 Chocolate 36 Br;Moleca;5832.100 PVC;Chocolate;36;01025036;babuche moleca 5832.100 pvc (bab chocolate 36);2545583-babchocolate;1;paused;foto e a do babuche PRETO (identica a cor Preto)
FOTO ERRADA;MLB5183301465;Babuche Moleca 5832.100 Chocolate 38 Br;Moleca;5832.100 PVC;Chocolate;38;01025038;babuche moleca 5832.100 pvc (bab chocolate 38);2545583-babchocolate;1;paused;foto e a do babuche PRETO (identica a cor Preto)
FOTO ERRADA;MLB5183325159;Babuche Moleca 5832.100 Chocolate 39 Br;Moleca;5832.100 PVC;Chocolate;39;01025039;babuche moleca 5832.100 pvc (bab chocolate 39);2545583-babchocolate;5;paused;foto e a do babuche PRETO (identica a cor Preto)
FOTO ERRADA;MLB5183312401;Babuche Moleca 5832.100 Chocolate 40 Br;Moleca;5832.100 PVC;Chocolate;40;01025040;babuche moleca 5832.100 pvc (bab chocolate 40);2545583-babchocolate;3;paused;foto e a do babuche PRETO (identica a cor Preto)
FOTO ERRADA;MLB5183577097;Chinelo Slide Molekinho 2417.100 Slide Eva Azul-marinho 27 Br;Molekinho;2417.100 SLIDE EVA;Azul-marinho;27;01017127;chinelo slide molekinho 2417.100 slide eva (marinho eva 27/28);2548526-marinhoeva;1;paused;"foto e o slide PRETO; origem diz marinho"
FOTO ERRADA;MLB5183577125;Chinelo Slide Molekinho 2417.100 Slide Eva Azul-marinho 28 Br;Molekinho;2417.100 SLIDE EVA;Azul-marinho;28;01017127;chinelo slide molekinho 2417.100 slide eva (marinho eva 27/28);2548526-marinhoeva;2;paused;"foto e o slide PRETO; origem diz marinho"
FOTO ERRADA;MLB5183577151;Chinelo Slide Molekinho 2417.100 Slide Eva Azul-marinho 30 Br;Molekinho;2417.100 SLIDE EVA;Azul-marinho;30;01017129;chinelo slide molekinho 2417.100 slide eva (marinho eva 29/30);2548526-marinhoeva;1;paused;"foto e o slide PRETO; origem diz marinho"
FOTO ERRADA;MLB5183589967;Chinelo Slide Molekinho 2417.100 Slide Eva Azul-marinho 35 Br;Molekinho;2417.100 SLIDE EVA;Azul-marinho;35;01017135;chinelo slide molekinho 2417.100 slide eva (marinho eva 35/36);2548526-marinhoeva;1;paused;"foto e o slide PRETO; origem diz marinho"
FOTO ERRADA;MLB5183577205;Chinelo Slide Molekinho 2417.100 Slide Eva Azul-marinho 36 Br;Molekinho;2417.100 SLIDE EVA;Azul-marinho;36;01017135;chinelo slide molekinho 2417.100 slide eva (marinho eva 35/36);2548526-marinhoeva;1;paused;"foto e o slide PRETO; origem diz marinho"
FOTO ERRADA;MLB7584845538;Babuche Molekinho 2874.202 Gaspea Eva Laranja 27 Br;Molekinho;2874.202 GASPEA EVA;Laranja;27;01026327;babuche molekinho 2874.202 gaspea eva (marinho laranja 27/28);2546293-marinholaranja;5;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584834082;Babuche Molekinho 2874.202 Gaspea Eva Laranja 28 Br;Molekinho;2874.202 GASPEA EVA;Laranja;28;01026327;babuche molekinho 2874.202 gaspea eva (marinho laranja 27/28);2546293-marinholaranja;5;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584834134;Babuche Molekinho 2874.202 Gaspea Eva Laranja 29 Br;Molekinho;2874.202 GASPEA EVA;Laranja;29;01026329;babuche molekinho 2874.202 gaspea eva (marinho laranja 29/30);2546293-marinholaranja;7;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584845224;Babuche Molekinho 2874.202 Gaspea Eva Laranja 30 Br;Molekinho;2874.202 GASPEA EVA;Laranja;30;01026329;babuche molekinho 2874.202 gaspea eva (marinho laranja 29/30);2546293-marinholaranja;7;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584858348;Babuche Molekinho 2874.202 Gaspea Eva Laranja 31 Br;Molekinho;2874.202 GASPEA EVA;Laranja;31;01026331;babuche molekinho 2874.202 gaspea eva (marinho laranja 31/32);2546293-marinholaranja;14;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584834414;Babuche Molekinho 2874.202 Gaspea Eva Laranja 32 Br;Molekinho;2874.202 GASPEA EVA;Laranja;32;01026331;babuche molekinho 2874.202 gaspea eva (marinho laranja 31/32);2546293-marinholaranja;14;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584845268;Babuche Molekinho 2874.202 Gaspea Eva Laranja 33 Br;Molekinho;2874.202 GASPEA EVA;Laranja;33;01026333;babuche molekinho 2874.202 gaspea eva (marinho laranja 33/34);2546293-marinholaranja;14;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584834458;Babuche Molekinho 2874.202 Gaspea Eva Laranja 34 Br;Molekinho;2874.202 GASPEA EVA;Laranja;34;01026333;babuche molekinho 2874.202 gaspea eva (marinho laranja 33/34);2546293-marinholaranja;14;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584834270;Babuche Molekinho 2874.202 Gaspea Eva Laranja 35 Br;Molekinho;2874.202 GASPEA EVA;Laranja;35;01026335;babuche molekinho 2874.202 gaspea eva (marinho laranja 35/36);2546293-marinholaranja;12;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB7584858290;Babuche Molekinho 2874.202 Gaspea Eva Laranja 36 Br;Molekinho;2874.202 GASPEA EVA;Laranja;36;01026335;babuche molekinho 2874.202 gaspea eva (marinho laranja 35/36);2546293-marinholaranja;13;paused;foto e do 2874.407 preto/neon (modelo e cor errados)
FOTO ERRADA;MLB5195211445;Babuche Molekinho 2874.202 Gaspea Eva Preto 27 Br;Molekinho;2874.202 Gaspea Eva;Preto;27;01026227;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 27/28);2546293-pretoamareloneon;8;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195224185;Babuche Molekinho 2874.202 Gaspea Eva Preto 28 Br;Molekinho;2874.202 Gaspea Eva;Preto;28;01026227;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 27/28);2546293-pretoamareloneon;8;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195224199;Babuche Molekinho 2874.202 Gaspea Eva Preto 29 Br;Molekinho;2874.202 Gaspea Eva;Preto;29;01026229;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 29/30);2546293-pretoamareloneon;7;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195211469;Babuche Molekinho 2874.202 Gaspea Eva Preto 30 Br;Molekinho;2874.202 Gaspea Eva;Preto;30;01026229;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 29/30);2546293-pretoamareloneon;7;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195224237;Babuche Molekinho 2874.202 Gaspea Eva Preto 31 Br;Molekinho;2874.202 Gaspea Eva;Preto;31;01026231;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 31/32);2546293-pretoamareloneon;13;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB7597402104;Babuche Molekinho 2874.202 Gaspea Eva Preto 32 Br;Molekinho;2874.202 Gaspea Eva;Preto;32;01026231;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 31/32);2546293-pretoamareloneon;13;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195224169;Babuche Molekinho 2874.202 Gaspea Eva Preto 33 Br;Molekinho;2874.202 Gaspea Eva;Preto;33;01026233;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 33/34);2546293-pretoamareloneon;14;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB7597402170;Babuche Molekinho 2874.202 Gaspea Eva Preto 34 Br;Molekinho;2874.202 Gaspea Eva;Preto;34;01026233;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 33/34);2546293-pretoamareloneon;14;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB5195224131;Babuche Molekinho 2874.202 Gaspea Eva Preto 35 Br;Molekinho;2874.202 Gaspea Eva;Preto;35;01026235;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 35/36);2546293-pretoamareloneon;16;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB7597402006;Babuche Molekinho 2874.202 Gaspea Eva Preto 36 Br;Molekinho;2874.202 Gaspea Eva;Preto;36;01026235;babuche molekinho 2874.202 gaspea eva (preto amarelo neon 35/36);2546293-pretoamareloneon;16;paused;foto e do 2874.407 marinho/laranja (modelo e cor errados)
FOTO ERRADA;MLB7584960212;Babuche Led Infantil Molekinho 2874.40 Amarelo 27 Br;Molekinho;2874.204 GAS/INJET;Amarelo;27;01036827;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 27/28);2550276-102997pretoamareloneon;1;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584973054;Babuche Led Infantil Molekinho 2874.40 Amarelo 28 Br;Molekinho;2874.204 GAS/INJET;Amarelo;28;01036827;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 27/28);2550276-102997pretoamareloneon;2;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584960278;Babuche Led Infantil Molekinho 2874.40 Amarelo 30 Br;Molekinho;2874.204 GAS/INJET;Amarelo;30;01036829;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 29/30);2550276-102997pretoamareloneon;1;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584948984;Babuche Led Infantil Molekinho 2874.40 Amarelo 31 Br;Molekinho;2874.204 GAS/INJET;Amarelo;31;01036831;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 31/32);2550276-102997pretoamareloneon;1;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584949024;Babuche Led Infantil Molekinho 2874.40 Amarelo 32 Br;Molekinho;2874.204 GAS/INJET;Amarelo;32;01036831;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 31/32);2550276-102997pretoamareloneon;1;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584960392;Babuche Led Infantil Molekinho 2874.40 Amarelo 33 Br;Molekinho;2874.204 GAS/INJET;Amarelo;33;01036833;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 33/34);2550276-102997pretoamareloneon;1;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584960420;Babuche Led Infantil Molekinho 2874.40 Amarelo 34 Br;Molekinho;2874.204 GAS/INJET;Amarelo;34;01036833;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 33/34);2550276-102997pretoamareloneon;2;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584960442;Babuche Led Infantil Molekinho 2874.40 Amarelo 35 Br;Molekinho;2874.204 GAS/INJET;Amarelo;35;01036835;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 35/36);2550276-102997pretoamareloneon;3;paused;foto e o babuche marinho/laranja de outro modelo
FOTO ERRADA;MLB7584949156;Babuche Led Infantil Molekinho 2874.40 Amarelo 36 Br;Molekinho;2874.204 GAS/INJET;Amarelo;36;01036835;babuche molekinho 2874.204 gas/injet (102997preto/amarelo/neon 35/36);2550276-102997pretoamareloneon;3;paused;foto e o babuche marinho/laranja de outro modelo
